Codificación,TítuloCompletoEspañol,TítuloCompletoInglés,Descripción,Estatus,TítuloAbreviadoEspañol,TítuloAbreviadoInglés,Créditos,HorasContacto,Año,Semestre,Requisito,Electiva,CursosPrerrequisitos,CursosCorrequisitos,Comentarios,AnejosComentarios,Anejos,FechaUltimaRevisión,Programa,AnejosCometarios
FARM_7169,Fundamentos Científicos para la Práctica Profesional: Anatomía y Fisiología II,Scientific Foundations for the Professional Practice: Anatomy and Physiology II,"En este curso se continúa con el desarrollo e integración de los aspectos fundamentales de la estructura y el funcionamiento normal del cuerpo humano.  Incluye el estudio de los siguientes sistemas:  sistema nervioso autonómico, endocrino, cardiovascular, linfático e inmunológico, respiratorio, digestivo, urinario y reproductivo masculino y femenino.  Se propicia el aprendizaje activo y participativo, además de la integración con la práctica profesional de forma progresiva para contribuir al desarrollo del conocimiento conceptual, actitudinal y valorativo.  Se adopta la estrategia de exploración, conceptualización y aplicación (ECA) como plan general de enseñanza dirigido a promover el desarrollo de las destrezas de pensamiento y las competencias identificadas.  Otras estrategias como el aprendizaje basado en problemas (PBL) y el planteamiento de problemas (Problem Posing), podrán utilizarse.",2,Fund Cientf Anat Fisio II,Scien Found Anat Physio II,3.0,54.0,1.0,2.0,True,False,FARM 7165 – Fundamentos Científicos para la Practica Profesional: Anatomía y Fisiología I,Ninguno,"Se ha modificado según el senado Académico del RCM, el 6 de junio de 2019, enmienda a Certificación 035, 2018-19, se aprueba cláusula “Disclaimer Title IX of the Education Amendments of 1972”, además de Integridad Académica y Enunciado de Modificación Razonable a ser incluidas en todos los prontuarios._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
Se ha modificado Acomodo Razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018. Curso permanece inactivo._x000d_
_x000d_
Solictud para Inactivacion del Curso, recibida el 1 de julio de 2016, de Adm Central oficialmente. (ver anejo)._x000d_
_x000d_
Se tramitó solicitud para la inactivación del curso el 23 de septiembre de 2013..  No tenemos evidencia de documento firmado en nuestra división ni se ha recibido comunicado de Administración Central como que ha sido registrado oficialmente.",,07 07 16-Inactivaci Cursos Oficial-FARM  7165-67-68-69-7417-18.pdf;26-9-13-Formulario Inactivarcion Curso FARM 7169.doc;FARM 7169 - Fundamentos Científicos II-Rev. 19-2-10-Bibliogr.doc;FARM 7169 - Fundamentos Científicos II-Rev. 19-2-10-Bibliogr.pdf,2016-07-01,PharmD,
FARM_7175,La Promoción de la Salud y la Prevención de Enfermedades en el Manejo de Desastres,Health Promotion and Disease Prevention in Disaster Management,"Este curso electivo del primer año profesional permite que el estudiante profundice en los distintos tipos de desastres y su manejo, siendo este tópico uno de impacto a la sociedad, a la salud individual y comunitaria.  Se expone al estudiante al sistema de salud y al subsistema de farmacia contextualizado a la estructura, organización y planificación para el manejo de desastres.  Las consecuencias en la salud ambiental y mental se examinan en la ocurrencia de un desastre así como los medicamentos esenciales.  Como tema de actualidad se discute el resurgimiento de las enfermedades infecciosas y el bioterrorismo.  El papel del farmacéutico como profesional de la salud y ciudadano se examina en el contexto del manejo de desastres.  En este curso se utilizarán metodologías de aprendizaje activo.",1,Prom Prev Manejo Desastres,Prom Prev Manage Disaster,3.0,54.0,1.0,2.0,False,True,"FARM 7105 – Seminario Teórico Práctico de Fundamentos Sicosociales, Cultura y Gerencia I; FARM 7116 – Promoción de la Salud y Prevención de Enfermedades","FARM 7106 – Seminario Teórico Práctico de Fundamentos Sicosociales, Cultura y Gerencia II","Actualización Cláusulas Prontuarios RCM Español e Inglés RevODA 18/nov/22_x000d_
_x000d_
Se añadió Evaluaciones Obligatorias. 5/oct/20._x000d_
_x000d_
Se ha modificado según el senado Académico del RCM, el 6 de junio de 2019, enmienda a Certificación 035, 2018-19, se aprueba cláusula “Disclaimer Title IX of the Education Amendments of 1972”, además de Integridad Académica y Enunciado de Modificación Razonable a ser incluidas en todos los prontuarios._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
Se ha modificado Acomodo Razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018.",,FARM 7175 Promoción de la Salud y Prevención de Enfermedades 18 nov 22.docx;FARM 7175 Promoción de la Salud y Prevención de Enfermedades 5 oct 20.docx;FARM 7175 Promoción de la Salud y Prevención de Enfermedades 5 oct 20.pdf;FARM 7175 Promoción de la Salud y Prevención de Enfermedades.docx;FARM 7175 Promoción de la Salud y Prevención de Enfermedades.pdf,2022-11-18,PharmD,
FARM_7205,"Seminario Teórico Práctico de Fundamentos Sicosociales, Cultura y Gerencia III","Psychosocial Basis, Culture and Management Theory-Practice Seminar III","El Seminario Teórico Práctico de Fundamentos Sicosociales, Cultura y Gerencia integra sistemática y progresivamente los fundamentos sicosociales del currículo profesional liberal. El mismo se desarrolla a lo largo de cinco semestres académicos en los primeros dos años y medio del programa de estudios. En este curso particularmente, se amplía el concepto de fundamentos sicosociales a través de los subconceptos de ética aplicada a la práctica profesional, análisis y manejo de situaciones éticas, sociología de la salud y sociología farmacéutica en los sistemas de atención de salud.  En el curso se utilizarán metodologías de aprendizaje activo.",3,Fund Sicosocial III,Psychosocial Basis III,2.0,36.0,2.0,1.0,True,False,FARM 7106 – Seminario Teórico Práctico de Fundamentos Sicosociales Cultura y Gerencia II,,"Actualización Cláusulas Prontuarios RCM Español e Inglés RevODA 18/nov/22_x000d_
_x000d_
Se añadió Evaluaciones Obligatorias. 5/oct/20._x000d_
_x000d_
Se ha modificado según el senado Académico del RCM, el 6 de junio de 2019, enmienda a Certificación 035, 2018-19, se aprueba cláusula “Disclaimer Title IX of the Education Amendments of 1972”, además de Integridad Académica y Enunciado de Modificación Razonable a ser incluidas en todos los prontuarios._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
Se ha modificado Acomodo Razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018._x000d_
_x000d_
Se ha revisado Integridad Académica, aprobado por el Senado Académico, Cert. SA 049, 2016-2017 y se ha añadido Evaluaciones Basadas en Computadoras (EBC), 7 de julio de 2017._x000d_
_x000d_
Revisado por Dra. María V. Pi Portales en marzo, 2010._x000d_
_x000d_
Se realizó cambio en curso registrado: Descripción en español e inglés; el 29 de junio de 2007.  Se documentó la duda en cuanto a un posible cambio en curso registrado relativo a co-requisitos.",,"FARM  7205 - Fundamentos Sicosociales, Cultura y Gerencia II 5 oct 20.doc;FARM  7205 - Fundamentos Sicosociales, Cultura y Gerencia II 5 oct 20.pdf;FARM  7205 - Fundamentos Sicosociales, Cultura y Gerencia II.doc;FARM  7205 - Fundamentos Sicosociales, Cultura y Gerencia II.pdf;FARM 7205 Fundamentos Sicosociales, Cultura y Gerencia II 18 nov 22.docx;FARM 7205- Solic Cambio en Curso Oficial.pdf",2022-11-18,PharmD,
FARM_7206,Fundamentos Científicos para la Práctica Profesional: Bioquímica,Scientific Foundations for the Professional Practice: Biochemistry,"En este curso los estudiantes adquieren conocimiento de la estructura,  las propiedades bioquímicas y la función de las biomoléculas (proteínas, hidratos de carbono, lípidos y ácidos nucleicos).  El curso incluye el estudio de las enzimas, las rutas metabólicas principales,  los mecanismos de regulación metabólica, el código genético, así como la expresión de genes y su regulación. Se provee énfasis en condiciones médicas causadas por disturbios bioquímicos y los posibles puntos de intervención terapéutica dentro de las rutas metabólicas. Este curso promueve el aprendizaje activo y participativo que conducen a desarrollar el conocimiento conceptual, actitudinal y valorativo.  Se utilizan metodologías de metodologías de aprendizaje activo tales como la conferencia ilustrada y el aprendizaje cooperativo, entre otras.",1,Fund Cientf: Bioquimica,Scien Found: Biochemistry,3.5,63.0,1.0,1.0,True,False,Ninguno,Ninguno,"Actualización Cláusulas Prontuarios RCM Español e Inglés RevODA 18/nov/22_x000d_
_x000d_
Se añadió Evaluaciones Obligatorias. 5/oct/20._x000d_
_x000d_
Se ha modificado según el senado Académico del RCM, el 6 de junio de 2019, enmienda a Certificación 035, 2018-19, se aprueba cláusula “Disclaimer Title IX of the Education Amendments of 1972”, además de Integridad Académica y Enunciado de Modificación Razonable a ser incluidas en todos los prontuarios._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
Se ha modificado Acomodo Razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018._x000d_
_x000d_
Se ha revisado Integridad Académica, aprobado por el Senado Académico, Cert. SA 049, 2016-2017 y se ha añadido Evaluaciones Basadas en Computadoras (EBC), 7 de julio de 2017._x000d_
_x000d_
Este curso ha sido registrado el día 10/mayo/2013.",,7-6-13-FARM 7206-Fund  Cient Práctica  Profesional- Bioquimica -10-5-13-Oficial.doc;7-6-13-FARM 7206-Fund  Cient Práctica  Profesional- Bioquimica -10-5-13-Oficial.pdf;FARM 7206- Creacion de Curso oficial.pdf;FARM 7206 Fund  Cient Práctica  Profesional- Bioquimica 18 nov 22.docx;FARM 7206-Fund  Cient Práctica  Profesional- Bioquimica 5 oct 20.doc;FARM 7206-Fund  Cient Práctica  Profesional- Bioquimica 5 oct 20.pdf,2022-11-18,PharmD,
FARM_7207,Fundamentos Científicos para la Práctica Profesional: Patofisiología,Scientific Fountations for the Professional Practice: Pathophysiology,"En este curso se estudian las manifestaciones biológicas y físicas de la enfermedad y su relación conlas anomalíasy alteraciones fisiológicas subyacentes.  Se estudiarán enfermedades de mayor prevalencia y relevancia para la profesión farmacéutica.  El curso propicia el aprendizaje activo y participativo, además de la integración con la práctica profesional de forma progresiva, de manera que se pueda desarrollar el conocimiento conceptual, actitudinal y valorativo.  Se utilizarán estrategias de aprendizaje activo tales como exploración, coneceptuación y aplicación (ECA), el aprendizaje basado en problemas (PBL) y el planteamiento de problemas, entre otras.",1,Fund Cientf Patofisiologia,Scien Found Pathophysiolog,3.5,63.0,1.0,2.0,True,False,Todos los cursos del primer semestre del primer año profesional,Ninguno,"Actualización Cláusulas Prontuarios RCM Español e Inglés RevODA 18/nov/22_x000d_
_x000d_
Se añadió Evaluaciones Obligatorias. 5/oct/20._x000d_
_x000d_
Se ha modificado según el senado Académico del RCM, el 6 de junio de 2019, enmienda a Certificación 035, 2018-19, se aprueba cláusula “Disclaimer Title IX of the Education Amendments of 1972”, además de Integridad Académica y Enunciado de Modificación Razonable a ser incluidas en todos los prontuarios._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
Se ha modificado Acomodo Razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018._x000d_
_x000d_
Se ha revisado Integridad Académica, aprobado por el Senado Académico, Cert. SA 049, 2016-2017 y se ha añadido Evaluaciones Basadas en Computadoras (EBC), 7 de julio de 2017._x000d_
_x000d_
Este curso ha sido registrado el día 10/mayo/2013_x000d_
Bibliografia revisada por Dr. Kyle Melin el 25/01/2016.",,10-5-13-FARM 7207- Patofisiologia-Rev 1-17-2013-REV. EA-Oficial.doc;10-5-13-FARM 7207- Patofisiologia-Rev 1-17-2013-REV. EA-Oficial.pdf;FARM 7207 Patofisiologia 18 nov 22.docx;FARM 7207- Patofisiologia 5 oct 20.doc;FARM 7207- Patofisiologia 5 oct 20.pdf;farm 7207 Solic Codif Curso Oficial.pdf,2022-11-18,PharmD,
FARM_7208,Principios de Descubrimiento y Desarrollo de Fármacos,Principles of Drug Discovery and Drug Development,"Este curso electivo se enfoca en aspectos fundamentales y metodologías usualmente utilizadas en el descubrimiento y proceso de desarrollo de fármacos.  Los aspectos fundamentales incluyen las propiedades físico-químicas y farmacéuticas de los fármacos.  Las metodologías incluyen estrategias de descubrimiento de fármacos, métodos de modelaje molecular, optimización estructural, modelos terapéuticos y métodos de desarrollo de fármacos.  Este curso permitirá al estudiante integrar y aplicar fundamenots químicos en el diseño de moléculas y fármacos con actividad biiológica.  Asímismo, seguirá la ruta de descubrimiento y desarrollo a través de la identificación de una enfermedad, la selección de objetivos biológicos y la identificación de u compuesto líder con potencial para su desarrollo.  Además, incluye la regulación de los fármacos.  Las estrategias instruccionales incluyen la exploración, conceptualización y aplicación y el aprendizaje basado en casos.",1,Princip Descu Des Fármacos,Princip Drug Discov Develp,3.0,54.0,2.0,2.0,False,True,"FARM 7166 – Fundamentos Científicos para la Práctica Profesional: Matemática, Química y Física; FARM 7206 – Fundamentos Científicos para la Práctica Profesional: Bioquímica; FARM 7105 – Seminario Teórico Práctico de Fundamentos Sicosociales, Cultura y Gerencia I; FARM 7116 – Promoción de la Salud y Prevención de Enfermedades; FARM 7135 – Laboratorio de Investigación,  Educación y Método Científico I; FARM 7117 – Seminario Integrador de Cuidado Farmacéutico y Desarrollo Humano I",Ninguno,"Actualización Cláusulas Prontuarios RCM Español e Inglés RevODA 18/nov/22_x000d_
_x000d_
Se añadió Evaluaciones Obligatorias. 5/oct/20._x000d_
_x000d_
Se ha modificado según el senado Académico del RCM, el 6 de junio de 2019, enmienda a Certificación 035, 2018-19, se aprueba cláusula “Disclaimer Title IX of the Education Amendments of 1972”, además de Integridad Académica y Enunciado de Modificación Razonable a ser incluidas en todos los prontuarios._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
Se ha modificado Acomodo Razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018._x000d_
_x000d_
Se ha revisado Integridad Académica, aprobado por el Senado Académico, Cert. SA 049, 2016-2017 y se ha añadido Evaluaciones Basadas en Computadoras (EBC), 7 de julio de 2017._x000d_
_x000d_
Creación de Curso Aprobada el 4/noviembre/2014.",,FARM 7208- Creacion de Curso Oficial.pdf;FARM 7208 Principios de Descubrimiento y Desarrollo de Fármacos 18 nov 22.docx;FARM 7208-Principios de Descubrimiento y Desarrollo de Fármacos 5 oct 20.doc;FARM 7208-Principios de Descubrimiento y Desarrollo de Fármacos 5 oct 20.pdf;FARM 7208-Principios de Descubrimiento y Desarrollo de Fármacos-Rev ODA 10-16-14.doc;FARM 7208-Principios de Descubrimiento y Desarrollo de Fármacos-Rev ODA 10-16-14.pdf,2022-11-18,PharmD,
FARM_7209,Corrección Metabólica como Enfoque Funcional en el Manejo de la Enfermedad y Mejoramiento de la Salud,Metabolic Correction as a Functional Approach in Disease Management and Health Improvement,"Este curso electivo se enfoca en el uso racional y basado en investigación y evidencia de nutrientes y cofactores en el manejo de condiciones, tales como enfermedad cardiovascular, diabetes, depresión, demencia y cáncer.  Este curso también discute el desgaste de nutrientes inducido por medicamentos y el uso de botánicos, aceites esenciales y remedios homeopáticos en el manejo de varias condiciones de salud.  La corrección metabólica es un concepto basado en mejorar las funciones de las células y tejidos del cuerpo mediante el suplido de sustancias que el cuerpo necesita para facilitar las reacciiones bioquímicas y los procesos fisiológicos saludables.  Al final de este curso el estudiante será capaz de recomendar nutrientes y cofactores que han demostrado valor en el manejo de una variedad de condiciones y será capaz de educar a los pacientes sobre su uso.  El curso utilizará la estrategia instruccional de exploración, conceptualización y aplicación.",1,Cor Metab Mane Enf y Salud,Metab Cor Dis Manag Health,3.0,54.0,2.0,2.0,False,True,"FARM 7206 – Scientific Foundations for the Professional Practice: Biochemistry; FARM 7166 – Scientific Foundations for the Professional Practice: Mathematics, Chemistry and Physics; FARM 7207 – Scientific Foundations for the Professional Practice: Pathophysiology",Ninguno,"Actualización Cláusulas Prontuarios RCM Español e Inglés RevODA 18/nov/22_x000d_
_x000d_
Se añadió Evaluaciones Obligatorias. 5/oct/20._x000d_
_x000d_
Se ha modificado según el senado Académico del RCM, el 6 de junio de 2019, enmienda a Certificación 035, 2018-19, se aprueba cláusula “Disclaimer Title IX of the Education Amendments of 1972”, además de Integridad Académica y Enunciado de Modificación Razonable a ser incluidas en todos los prontuarios._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
Se ha modificado Acomodo Razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018._x000d_
_x000d_
Se ha revisado Integridad Académica, aprobado por el Senado Académico, Cert. SA 049, 2016-2017 y se ha añadido Evaluaciones Basadas en Computadoras (EBC), 11 de julio de 2017._x000d_
_x000d_
Se ha creado curso inscrito en Administración Central el 4 de noviembre de 2014.",,FARM 7209- Creacion de curso oficial.pdf;FARM 7209 Metabolic.Corr.Syllabus Final 18 nov 22.docx;FARM 7209-Metabolic.Corr.Syllabus Final 5 oct 20.doc;FARM 7209-Metabolic.Corr.Syllabus Final 5 oct 20.pdf;FARM 7209-Metabolic.Corr.Syllabus Final 9-17-14-Rev ODA RCM.doc;FARM 7209-Metabolic.Corr.Syllabus Final 9-17-14-Rev ODA RCM.pdf,2022-11-18,PharmD,
FARM_7217,Seminario Integrador de Cuidado Farmacéutico y Desarrollo Humano III,Integrative Seminar of Pharmaceutical Care and Human Development III,"NUEVA DESCRIPCIÓN EN ESPAÑOL_x000d_
_x000d_
El Seminario Integrador III se constituye en el centro unificador del currículo.  En este se continúa con el estudio y la aplicación de las diez (10) competencias y se incorporan progresivamente los aprendizajes mayores alcanzados en los otros cursos.  En este seminario se continúa con la conceptuación del cuidado farmacéutico y de la implantación del proceso de cuidado al paciente.  El seminario guía al estudiante en la preparación de su portafolio que evidencia el desarrollo de las competencias a lo largo de su experiencia académica.  En el primer semestre del segundo año profesional, el estudiante continuará con la conceptuación de: las competencias como objeto de estudio y la conceptuación de la práctica de cuidado farmacéutico.  Se hará énfasis en las competencias de cuidado farmacéutico, pensamiento crítico, solución de problemas, autoaprendizaje, comunicación, ética, conciencia y responsabilidad social, administración, intervención en política pública e interacción social.  El seminario estimula la reflexión educador-educando mediante metodologías de aprendizaje activo.",1,Seminario Integrador III,Integrative Seminar III,2.0,36.0,2.0,1.0,True,False,Primer año profesional,Ninguno,"Actualización Cláusulas Prontuarios RCM Español e Inglés RevODA 18/nov/22_x000d_
_x000d_
Se añadió Evaluaciones Obligatorias. 5/oct/20._x000d_
_x000d_
Se ha modificado según el senado Académico del RCM, el 6 de junio de 2019, enmienda a Certificación 035, 2018-19, se aprueba cláusula “Disclaimer Title IX of the Education Amendments of 1972”, además de Integridad Académica y Enunciado de Modificación Razonable a ser incluidas en todos los prontuarios._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
Se ha modificado Acomodo Razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018._x000d_
_x000d_
Solicitd de Cambio en Curso Resgistrado aprobado por Administración Central, cambio en descripciones, 27 de feb 2018._x000d_
_x000d_
_x000d_
Se ha revisado Integridad Académica, aprobado por el Senado Académico, Cert. SA 049, 2016-2017 y se ha añadido Evaluaciones Basadas en Computadoras (EBC), 7 de julio de 2017._x000d_
_x000d_
Revisión de bibliografia por Dra. Edna Almodóvar el 02 de marzo de 2017, queda pendiente solicitud de cambio en curso registrado.",,03 03 17 Solic Cambio en Curso FARM 7217-EA_JHA.docx;Comunic Dra Almodovar relac FARM 7217 Y FARM 7315.pdf;FARM 7217 Seminario Integrador de Cuidado Farmac. y DesarrolII 18 nov 22.docx;FARM 7217-Seminario Integrador de Cuidado Farmac. y DesarrolII 5 oct 20.doc;FARM 7217-Seminario Integrador de Cuidado Farmac. y DesarrolII 5 oct 20.pdf;FARM 7217-Solic Cambio Curso Ofic-27 02 18.pdf;Prontuario FARM_7217 Admin Central-27-feb-18-1.docx;Prontuario FARM_7217 Admin Central-27-feb-18-1.pdf,2022-11-18,PharmD,
FARM_7225,Ciencias Farmacéuticas Integradas y Agentes Terapéuticos I:  Química Medicinal y Farmacología,Integrated Pharmaceutical Sciences and Therapeutic Agents I:  Medicinal Chemistry and Pharmacology,"En este curso del segundo año profesional se continúa el desarrollo del concepto fármaco. Se integran las disciplinas de la química medicinal y farmacología para facilitar la comprensión de la relación entre las propiedades físico químicas y estructura de un fármaco con la acción y efecto farmacológico en el organismo vivo.  Además, se integran conocimientos de las ciencias básicas y biomédicas. Se incorporan a la conferencia/discusión,  metodologías de aprendizaje activo.",1,Ciencia Farm Integrada I,Integrate Pharm Science I,7.0,126.0,2.0,1.0,True,False,Primer año profesional,"FARM 7235 - Laboratorio de Investigación, Educación y Método Científico III","Actualización Cláusulas Prontuarios RCM Español e Inglés RevODA 18/nov/22_x000d_
_x000d_
Se añadió Evaluaciones Obligatorias. 5/oct/20._x000d_
_x000d_
Se ha modificado según el senado Académico del RCM, el 6 de junio de 2019, enmienda a Certificación 035, 2018-19, se aprueba cláusula “Disclaimer Title IX of the Education Amendments of 1972”, además de Integridad Académica y Enunciado de Modificación Razonable a ser incluidas en todos los prontuarios._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
Se ha modificado Acomodo Razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018._x000d_
_x000d_
Se ha revisado Integridad Académica, aprobado por el Senado Académico, Cert. SA 049, 2016-2017 y se ha añadido Evaluaciones Basadas en Computadoras (EBC), 11 de julio de 2017._x000d_
_x000d_
Bibliografía revisada en marzo, 2011._x000d_
_x000d_
Revisado por Dra. María v. Pi Portales en diciembre, 2009._x000d_
_x000d_
Se realizó cambio en curso registrado: Título en Español e Inglés el 27 de junio de 2007.",,FARM 7225 - Ciencias Farmac.Integr.y Agentes Terapéuticos I 5 oct 20.doc;FARM 7225 - Ciencias Farmac.Integr.y Agentes Terapéuticos I 5 oct 20.pdf;FARM 7225 - Ciencias Farmac.Integr.y Agentes Terapéuticos I-.doc;FARM 7225 - Ciencias Farmac.Integr.y Agentes Terapéuticos I-.pdf;FARM 7225 Ciencias Farmac.Integr.y Agentes Terapéuticos I 18 nov 22.docx;FARM 7225-Solic cambio en curso oficial.pdf,2022-11-18,PharmD,
FARM_7226,Ciencias Farmacéuticas Integradas y Agentes Terapéuticos II:  Química Medicinal y Farmacología,Integrated Pharmaceutical Sciences and Therapeutic Agents II:  Medicinal Chemistry and Pharmacology,"En este curso del segundo año profesional se continúa el desarrollo del concepto fármaco. Se integran las disciplinas de la química medicinal y farmacología para facilitar la comprensión de la relación entre las propiedades físico químicas y estructura de un fármaco con la acción y sus efectos farmacológicos en el organismo vivo.  Además, se integran conocimientos de las ciencias básicas y biomédicas. Se incorporan a la conferencia/discusión,  metodologías de aprendizaje activo.",1,CienFarmInt II QuimMd Farm,IntPharmScn II MdChem Phar,2.5,45.0,2.0,2.0,True,False,FARM 7225-Ciencias Farmacéuticas Integradas y Agentes Terapéuticos I:  Química Medicinal y Farmacología,Ninguno,"Actualización Cláusulas Prontuarios RCM Español e Inglés RevODA 18/nov/22_x000d_
_x000d_
Se añadió Evaluaciones Obligatorias. 5/oct/20._x000d_
_x000d_
Se ha modificado según el senado Académico del RCM, el 6 de junio de 2019, enmienda a Certificación 035, 2018-19, se aprueba cláusula “Disclaimer Title IX of the Education Amendments of 1972”, además de Integridad Académica y Enunciado de Modificación Razonable a ser incluidas en todos los prontuarios._x000d_
_x000d_
Se ha modificado, según lo ha establecido el Senado Académico del Recinto de Ciencias Médicas el 7 de febrero de 2019, añadir a todos los prontuarios cláusula Titulo IX: No Discriminación, según estipulado en el estatuto federal “Title IX of the Education Amendments of 1972”._x000d_
_x000d_
Se ha modificado Acomodo Razonable por el Decano de Asuntos Académicos del Recinto de Ciencias Médicas, 2 de julio de 2018._x000d_
_x000d_
Se ha revisado Integridad Académica, aprobado por el Senado Académico, Cert. SA 049, 2016-2017 y se ha añadido Evaluaciones Basadas en Computadoras (EBC), 7 de julio de 2017._x000d_
_x000d_
Solicitud de Cambio en Curso registrada el 10 de marzo de 2013._x000d_
_x000d_
Revisado por Dra. María V. Pi Portales en febrero, 2010._x000d_
_x000d_
Curso nuevo resultado de la división del curso FARM 7325, Ciencias Farmacéuticas Integradas y Agentes Terapéuticos II, 9 de julio",,FARM 7226 - Ciencias Farmacéuticas Integradas y Agentes Tera 5 oct 20.doc;FARM 7226 - Ciencias Farmacéuticas Integradas y Agentes Tera 5 oct 20.pdf;FARM 7226 - Ciencias Farmacéuticas Integradas y Agentes Tera-Oficial.doc;FARM 7226 - Ciencias Farmacéuticas Integradas y Agentes Tera-Oficial.pdf;FARM 7226 Ciencias Farmacéuticas Integradas y Agentes Tera 18 nov 22.docx;FARM 7226-Solic creacion y solic cambio en curso oficial.pdf,2022-11-18,PharmD,
